code,title,credit,description
BIOL 33300,Ecology,4.00,".  Adaptations of living organisms to environment; natural selection and evolution of species; ecological interactions at organism, population and community levels; dynamics of populations and communities; ecosystem structures and functions; and human impacts on ecosystems. Typically offered Spring."
BIOL 32500,Natural History of North West Indiana,3.00,".  This course consisting of field trips and lectures will discuss many aspects of ecosystems of the region. Some of the topics to be covered include geological history, glaciation, human settlement and impact, the Dunes and other ecosystems, amphibians, reptiles, mammals, birds, insects, plants and conservation issues. This course fulfills the requirement for a non-lab science elective for non-science majors and is ideal for anyone interested in the ecology of Northwest Indiana.. Typically offered Summer."
BIOL 31000,Form And Function Of Vascular Plants,4.00,".  An examination of external and internal characteristics of vascular plants and how these functional attributes impact their survival. Investigations of morphological traits and physiological mechanisms in the context of reproduction, photosynthesis, mechanical support, and mineral uptake and transport. Laboratory sessions include various aspects of plant form and function relationships associated with adaptations to environmental conditions. Typically offered Fall Spring Summer."
BIOL 31100,Introduction To Evolution,3.00,".  A study of evolution as a basic concept of the biological sciences; an examination of current scientific methods of experimentation within the area, as well as evidences for, and possible mechanisms of, evolutionary change.. Typically offered Fall Spring."
BIOL 32020,Biology Of The Immune System,3.00,".  Exposes students to the basic principles of immunology; teaches them to use those principles to understand the cause of immunological disease, and the basis of vaccines and immunotherapy; and, provides them with sufficient information to understand the principles and challenges of gene therapy, and the application of genomics to future drug development.  Typically offered Fall Spring Summer."
BIOL 31600,Basic Microbiology,4.00,".  A study of microbial structures, metabolism, genetics, classification, growth and control of growth, the role and significance of microbes to humans and the environment. Bacteria, fungi, protozoa and viruses are covered. Emphasis is on the bacteria. Typically offered Fall."
BIOL 33000,Biostatistics,3.00,".  Biological applications of statistical principles and procedures. Topics include basic concepts of statistics and probability, sampling and experimental design, data collection, and various analytical methods to analyze the data collected. Typically offered Fall Spring Summer."
BIOL 39500,Special Assignments,arrange  and .  reading discussions written reports seminar presentations and field or laboratory work provided for enrichment in special areas of the biological sciences,. Permission of instructor required. Typically offered Fall Spring Summer.
BIOL 32400,Natural History of the Smoky Mountains,3.00,".  Learn about air quality, fire management practices, the reintroduction of native species and the elimination of exotic ones. You’ll have the opportunity to conduct a wildlife census, and assist park personnel with a resource management project such as reestablishing a native meadow or ridding a stream of invasive milfoil. Special courses on trees, salamanders, stream ecology, and geology round out the week. This week of in-depth study and first-hand field experience is perfect for classroom teachers, naturalists or anyone interested in learning more about the natural world. A pre-trip and post-trip session at Purdue University Northwest is required. Typically offered Summer."
BIOL 39300,Preparing For Your Future In Biology,1.00,".  Biology 39300 is a one-credit course for junior and seniors in the Department of Biological Sciences.  This course will help students begin to prepare for life after Purdue.  Students will learn about interviewing, job searching, graduate and professional school searching, resumes, industrial practices, and how to evaluate job/school offers.  Construct a polished image on top of your solid biology foundation!  Get the job or get admitted to the school you want. Typically offered Spring."
BIOL 35100,Fundamentals Of Human Pathology,3.00,.  An introduction to human pathology with an emphasis on anatomical and physiological changes related to major disease processes of the body. Typically offered Spring.
BIOL 34200,Biological Science Practicum,0.00 to 3,.00.  Students will do on-or-off-campus practicum in their field of interest.  Can be repeated to satisfy the experiential learning requirement.  This course will not be counted toward the biological sciences elective credits.  Typically offered Fall Spring Summer.
BIOL 40200,Biogeography,3.00,".  This course will provide students with a broad perspective of world-wide distribution of organisms over space and time.  Students will discuss observed distribution patterns of select species, genera, families, and other groups.  Biogeography is a highly integrative science that draws on information from many fields including ecology, taxonomy, geological history, and evolutionary biology.  Typically offered Fall Spring Summer."
BIOL 35700,Introductory Animal Physiology,4.00,".  A system analysis of animal physiology. With emphasis on mammals, the operation of systems such as respiratory, cardiovascular, neuromuscular, and endocrine will be considered. Interactions between components of individual systems as well as intersystem interaction is discussed. Typically offered Fall Spring Summer."
BIA 32200,E-Business Applications,3.00,".  This course can be used as a business elective for BS Management majors.  The course content takes an in-depth look at Web design concepts and techniques.  The course examines theoretical concepts that make the world of Web design unique.  Also, this course adopts a practical hands-on approach when examining Web page styles.  Along with examining different coding techniques and technologies, this course explores the advancement of Web development, as well as, E-business problem solving strategies.  Typically offered Fall Spring Summer."
BIOL 33900,Social Issues In Biology,3.00,".  This course is required for biological science teaching majors only. Contemporary social issues in biology will be discussed in this course. Topics may include, but not limited to, religious conflicts of evolution, ethics of biological research and practice, and issues of human nutrition, substance abuse, sex education, and family planning. Cannot be counted for biology elective credits. Typically offered Fall Spring."
BIOL 34000,Human Physiology,5.00,".  A study of human physiology for students entering health oriented fields. The following systems will be examined: nervous, muscular, circulatory, respiratory, urinary, digestive, and endocrine. Emphasis on the relationship of function to structure at various levels of organization. Attention will be drawn to homeostatic mechanisms and intersystem interactions. Typically offered Fall Spring Summer."
BIA 31800,E-Business Strategy,3.00,".  An overview of e-business from design to operations of organizations engaging in the fast-paced highly competitive, global environment of e-commerce. Topics include the impact of e-business, strategic use of IT for competitive advantage, e-business impact on organization, globalization, and the impact on options created through applied IT. It is designed for students pursuing leadership roles in defining IT policy and strategy. Typically offered Fall Spring."
